vdc,ward,parcel_id,Landuse
इटियाही,1,1,आवासिय क्षेत्र
इटियाही,1,3,आवासिय क्षेत्र
इटियाही,1,4,आवासिय क्षेत्र
इटियाही,1,6,सार्वजनिक उपयोग क्षेत्र
इटियाही,1,7,आवासिय क्षेत्र
इटियाही,1,8,आवासिय क्षेत्र
इटियाही,1,10,आवासिय क्षेत्र
इटियाही,1,12,आवासिय क्षेत्र
इटियाही,1,14,आवासिय क्षेत्र
इटियाही,1,16,आवासिय क्षेत्र
इटियाही,1,17,आवासिय क्षेत्र
इटियाही,1,18,आवासिय क्षेत्र
इटियाही,1,19,आवासिय क्षेत्र
इटियाही,1,20,आवासिय क्षेत्र
इटियाही,1,21,आवासिय क्षेत्र
इटियाही,1,23,आवासिय क्षेत्र
इटियाही,1,23,आवासिय क्षेत्र
इटियाही,1,23,आवासिय क्षेत्र
इटियाही,1,23,आवासिय क्षेत्र
इटियाही,1,23,आवासिय क्षेत्र
इटियाही,1,27,आवासिय क्षेत्र
इटियाही,1,32,"नदी, खोला, ताल, सिमसार क्षेत्र"
इटियाही,1,33,आवासिय क्षेत्र
इटियाही,1,34,कृषि क्षेत्र
इटियाही,1,37,कृषि क्षेत्र
इटियाही,1,42,कृषि क्षेत्र
इटियाही,1,43,कृषि क्षेत्र
इटियाही,1,45,कृषि क्षेत्र
इटियाही,1,48,आवासिय क्षेत्र
इटियाही,1,49,आवासिय क्षेत्र
इटियाही,1,50,आवासिय क्षेत्र
इटियाही,1,52,आवासिय क्षेत्र
इटियाही,1,53,आवासिय क्षेत्र
इटियाही,1,54,आवासिय क्षेत्र
इटियाही,1,55,आवासिय क्षेत्र
इटियाही,1,57,आवासिय क्षेत्र
इटियाही,1,58,आवासिय क्षेत्र
इटियाही,1,60,कृषि क्षेत्र
इटियाही,1,61,कृषि क्षेत्र
इटियाही,1,62,कृषि क्षेत्र
इटियाही,1,65,कृषि क्षेत्र
इटियाही,1,68,कृषि क्षेत्र
इटियाही,1,70,कृषि क्षेत्र
इटियाही,1,71,कृषि क्षेत्र
इटियाही,1,76,आवासिय क्षेत्र
इटियाही,1,77,आवासिय क्षेत्र
इटियाही,1,78,आवासिय क्षेत्र
इटियाही,1,79,आवासिय क्षेत्र
इटियाही,1,80,आवासिय क्षेत्र
इटियाही,1,81,आवासिय क्षेत्र
इटियाही,1,82,आवासिय क्षेत्र
इटियाही,1,83,आवासिय क्षेत्र
इटियाही,1,84,आवासिय क्षेत्र
इटियाही,1,85,आवासिय क्षेत्र
इटियाही,1,86,आवासिय क्षेत्र
इटियाही,1,88,आवासिय क्षेत्र
इटियाही,1,90,आवासिय क्षेत्र
इटियाही,1,91,आवासिय क्षेत्र
इटियाही,1,92,आवासिय क्षेत्र
इटियाही,1,96,आवासिय क्षेत्र
इटियाही,1,97,आवासिय क्षेत्र
इटियाही,1,98,आवासिय क्षेत्र
इटियाही,1,101,आवासिय क्षेत्र
इटियाही,1,102,आवासिय क्षेत्र
इटियाही,1,105,आवासिय क्षेत्र
इटियाही,1,106,आवासिय क्षेत्र
इटियाही,1,109,आवासिय क्षेत्र
इटियाही,1,110,आवासिय क्षेत्र
इटियाही,1,111,आवासिय क्षेत्र
इटियाही,1,112,आवासिय क्षेत्र
इटियाही,1,113,आवासिय क्षेत्र
इटियाही,1,116,आवासिय क्षेत्र
इटियाही,1,118,कृषि क्षेत्र
इटियाही,1,118,कृषि क्षेत्र
इटियाही,1,118,कृषि क्षेत्र
इटियाही,1,121,आवासिय क्षेत्र
इटियाही,1,122,आवासिय क्षेत्र
इटियाही,1,124,कृषि क्षेत्र
इटियाही,1,126,आवासिय क्षेत्र
इटियाही,1,129,कृषि क्षेत्र
इटियाही,1,130,कृषि क्षेत्र
इटियाही,1,136,आवासिय क्षेत्र
इटियाही,1,138,आवासिय क्षेत्र
इटियाही,1,139,आवासिय क्षेत्र
इटियाही,1,140,आवासिय क्षेत्र
इटियाही,1,141,आवासिय क्षेत्र
इटियाही,1,142,आवासिय क्षेत्र
इटियाही,1,175,आवासिय क्षेत्र
इटियाही,1,176,कृषि क्षेत्र
इटियाही,1,177,आवासिय क्षेत्र
इटियाही,1,185,कृषि क्षेत्र
इटियाही,1,186,आवासिय क्षेत्र
इटियाही,1,189,आवासिय क्षेत्र
इटियाही,1,192,आवासिय क्षेत्र
इटियाही,1,193,आवासिय क्षेत्र
इटियाही,1,206,आवासिय क्षेत्र
इटियाही,1,207,आवासिय क्षेत्र
इटियाही,1,214,आवासिय क्षेत्र
इटियाही,1,215,कृषि क्षेत्र
इटियाही,1,216,कृषि क्षेत्र
इटियाही,1,217,आवासिय क्षेत्र
इटियाही,1,218,आवासिय क्षेत्र
इटियाही,1,219,कृषि क्षेत्र
इटियाही,1,221,कृषि क्षेत्र
इटियाही,1,223,कृषि क्षेत्र
इटियाही,1,224,कृषि क्षेत्र
इटियाही,1,225,कृषि क्षेत्र
इटियाही,1,227,कृषि क्षेत्र
इटियाही,1,241,कृषि क्षेत्र
इटियाही,1,247,आवासिय क्षेत्र
इटियाही,1,248,आवासिय क्षेत्र
इटियाही,1,249,आवासिय क्षेत्र
इटियाही,1,250,आवासिय क्षेत्र
इटियाही,1,251,आवासिय क्षेत्र
इटियाही,1,252,आवासिय क्षेत्र
इटियाही,1,266,आवासिय क्षेत्र
इटियाही,1,267,आवासिय क्षेत्र
इटियाही,1,270,कृषि क्षेत्र
इटियाही,1,276,आवासिय क्षेत्र
इटियाही,1,277,आवासिय क्षेत्र
इटियाही,1,282,कृषि क्षेत्र
इटियाही,1,283,कृषि क्षेत्र
इटियाही,1,284,कृषि क्षेत्र
इटियाही,1,285,कृषि क्षेत्र
इटियाही,1,287,कृषि क्षेत्र
इटियाही,1,288,आवासिय क्षेत्र
इटियाही,1,289,आवासिय क्षेत्र
इटियाही,1,295,आवासिय क्षेत्र
इटियाही,1,296,आवासिय क्षेत्र
इटियाही,1,297,आवासिय क्षेत्र
इटियाही,1,298,आवासिय क्षेत्र
इटियाही,1,313,आवासिय क्षेत्र
इटियाही,1,314,आवासिय क्षेत्र
इटियाही,1,315,आवासिय क्षेत्र
इटियाही,1,316,आवासिय क्षेत्र
इटियाही,1,320,आवासिय क्षेत्र
इटियाही,1,321,कृषि क्षेत्र
इटियाही,1,322,कृषि क्षेत्र
इटियाही,1,326,आवासिय क्षेत्र
इटियाही,1,343,आवासिय क्षेत्र
इटियाही,1,344,आवासिय क्षेत्र
इटियाही,1,345,आवासिय क्षेत्र
इटियाही,1,347,आवासिय क्षेत्र
इटियाही,1,348,आवासिय क्षेत्र
इटियाही,1,349,आवासिय क्षेत्र
इटियाही,1,358,आवासिय क्षेत्र
इटियाही,1,359,आवासिय क्षेत्र
इटियाही,1,360,आवासिय क्षेत्र
इटियाही,1,361,आवासिय क्षेत्र
इटियाही,1,362,कृषि क्षेत्र
इटियाही,1,363,आवासिय क्षेत्र
इटियाही,1,364,कृषि क्षेत्र
इटियाही,1,376,आवासिय क्षेत्र
इटियाही,1,401,आवासिय क्षेत्र
इटियाही,1,402,आवासिय क्षेत्र
इटियाही,1,407,कृषि क्षेत्र
इटियाही,1,408,कृषि क्षेत्र
इटियाही,1,423,कृषि क्षेत्र
इटियाही,1,424,कृषि क्षेत्र
इटियाही,1,439,आवासिय क्षेत्र
इटियाही,1,440,आवासिय क्षेत्र
इटियाही,1,441,आवासिय क्षेत्र
इटियाही,1,443,आवासिय क्षेत्र
इटियाही,1,444,आवासिय क्षेत्र
इटियाही,1,448,आवासिय क्षेत्र
इटियाही,1,449,आवासिय क्षेत्र
इटियाही,1,467,कृषि क्षेत्र
इटियाही,1,468,कृषि क्षेत्र
इटियाही,1,469,कृषि क्षेत्र
इटियाही,1,482,आवासिय क्षेत्र
इटियाही,1,488,आवासिय क्षेत्र
इटियाही,1,490,आवासिय क्षेत्र
इटियाही,1,492,आवासिय क्षेत्र
इटियाही,1,493,आवासिय क्षेत्र
इटियाही,1,494,आवासिय क्षेत्र
इटियाही,1,562,कृषि क्षेत्र
इटियाही,1,563,आवासिय क्षेत्र
इटियाही,1,578,कृषि क्षेत्र
इटियाही,1,579,कृषि क्षेत्र
इटियाही,1,580,आवासिय क्षेत्र
इटियाही,1,581,आवासिय क्षेत्र
इटियाही,1,582,आवासिय क्षेत्र
इटियाही,1,583,आवासिय क्षेत्र
इटियाही,1,589,कृषि क्षेत्र
इटियाही,1,590,कृषि क्षेत्र
इटियाही,1,591,आवासिय क्षेत्र
इटियाही,1,592,आवासिय क्षेत्र
इटियाही,1,593,आवासिय क्षेत्र
इटियाही,1,594,आवासिय क्षेत्र
इटियाही,1,595,आवासिय क्षेत्र
इटियाही,1,596,आवासिय क्षेत्र
इटियाही,1,597,आवासिय क्षेत्र
इटियाही,1,598,आवासिय क्षेत्र
इटियाही,1,600,आवासिय क्षेत्र
इटियाही,1,601,आवासिय क्षेत्र
